lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
0,0,0.0,9,17,1,1,0,0,0,1
3,0,195.0,9,26,4,0,1,3,4,1
0,0,86.0,1,2,4,1,1,0,0,1
5,0,90.0,10,19,3,2,1,0,0,1
247,1,100.3,9,26,4,5,2,0,0,0
32,1,96.3,10,19,4,2,1,0,0,1
108,0,85.85,4,15,4,3,2,0,0,0
12,0,65.0,8,5,2,3,0,0,0,1
338,1,90.67,10,7,3,2,1,0,0,1
75,0,80.0,3,17,4,3,1,0,0,0
186,0,115.0,4,22,3,2,1,0,0,0
68,1,60.0,11,30,3,3,1,0,3,1
73,0,135.9,6,11,4,1,1,0,0,1
59,0,112.0,12,27,3,1,2,0,0,1
50,2,189.9,6,3,4,2,1,0,5,1
41,0,81.08,4,21,4,1,0,0,0,0
63,0,116.0,9,4,3,2,0,1,0,1
190,0,67.09,8,25,4,3,1,3,0,0
31,1,64.67,11,14,4,5,2,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
0,0,107.42,9,9,4,1,0,3,0,1
146,0,95.0,4,24,3,0,2,0,0,0
31,1,88.0,12,2,4,2,1,3,0,1
174,0,70.0,10,10,3,1,1,0,0,0
346,1,115.0,9,13,4,2,0,1,0,0
8,0,80.0,2,19,2,1,0,0,0,1
40,0,139.5,10,5,4,2,0,0,3,0
94,2,132.3,10,19,4,4,0,0,3,1
37,0,126.9,5,21,4,2,2,0,0,0
26,1,120.12,5,20,4,2,0,0,3,1
81,0,60.0,2,19,3,2,1,0,0,1
2,0,94.99,8,10,4,2,0,3,0,1
2,1,0.0,9,10,1,1,0,0,0,1
34,1,135.45,4,16,4,2,2,0,3,1
208,1,81.0,12,27,3,1,0,0,0,1
152,2,110.65,8,5,4,2,1,0,0,0
44,0,135.4,5,27,2,2,2,0,4,0
221,0,80.0,8,12,3,1,0,0,0,0
174,0,95.67,9,22,3,3,0,0,0,1
8,0,130.0,11,5,3,1,0,0,0,1
198,3,159.3,9,22,4,3,0,0,3,1
43,0,60.0,11,4,3,3,0,0,3,1
0,0,75.0,8,11,4,1,0,0,0,1
2,1,130.0,3,20,4,3,2,0,0,1
42,0,85.05,11,24,3,2,0,0,0,1
10,1,52.36,12,20,4,2,2,3,0,1
99,0,81.0,2,19,2,1,0,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
9,0,95.0,4,27,2,2,0,0,0,1
197,2,106.2,4,12,4,3,0,0,0,0
45,0,78.3,3,3,4,3,0,0,0,0
128,1,43.43,2,5,3,5,2,0,0,1
418,0,107.0,9,26,3,2,1,1,0,0
40,1,125.0,7,26,3,1,0,1,0,1
105,0,75.0,4,6,3,1,0,0,0,0
0,1,73.0,11,30,2,1,0,0,0,1
290,0,73.95,12,1,4,3,1,0,0,0
81,2,76.5,12,6,4,0,1,0,0,1
139,2,228.6,7,4,4,2,1,1,5,0
193,0,108.9,9,1,4,3,0,0,0,0
87,3,91.0,11,13,4,2,2,0,0,1
11,2,182.0,3,24,4,2,0,0,3,1
55,0,104.0,4,6,3,1,0,1,0,1
123,0,162.0,9,20,4,5,1,0,3,0
150,1,45.0,6,16,3,3,0,1,0,1
128,2,207.9,5,27,4,2,0,0,5,0
31,2,85.5,10,5,4,2,1,0,0,1
53,0,120.0,10,14,3,1,0,0,0,1
71,0,126.9,6,9,4,1,0,0,0,0
34,1,129.0,10,26,4,4,0,0,0,0
14,1,114.0,9,15,4,3,0,0,0,1
61,0,78.2,12,19,3,0,1,0,3,1
0,1,55.0,3,2,2,2,0,0,0,1
37,1,81.9,3,1,4,2,0,0,0,0
69,2,123.3,7,17,4,0,1,0,0,1
25,1,78.54,9,14,4,3,1,0,3,1
154,1,120.7,7,7,4,3,1,0,3,0
148,0,119.69,8,16,4,5,2,0,3,0
346,1,115.0,9,13,3,2,0,1,0,0
418,0,75.0,9,26,3,2,1,0,0,0
3,1,174.0,8,3,4,1,0,3,0,1
57,1,90.67,6,10,3,2,1,0,0,1
